City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
154,Satwas,IN,2019-11-10 23:03:15,22.52,76.76,66.06,69,0,3.91,clear sky,0,0
155,At-Bashi,KG,2019-11-10 23:03:15,41.17,75.81,7.68,90,64,13.29,light snow,0,1
156,Abaete,BR,2019-11-10 23:03:15,-19.16,-45.45,79.38,51,68,6.06,broken clouds,0,0
157,Sao Joao Da Barra,BR,2019-11-10 23:03:15,-21.64,-41.05,75.42,90,100,4.36,light rain,2.56,0
158,Haines Junction,CA,2019-11-10 23:03:15,60.75,-137.51,2.62,58,0,0.92,clear sky,0,0
159,Portland,US,2019-11-10 23:03:16,43.66,-70.25,45.0,39,1,3.36,clear sky,0,0
160,Chuy,UY,2019-11-10 23:03:16,-33.69,-53.46,60.85,83,3,11.27,clear sky,0,0
161,Talnakh,RU,2019-11-10 23:03:16,69.49,88.39,-11.21,76,100,6.71,light snow,0,0
162,Severo-Kurilsk,RU,2019-11-10 23:03:16,50.68,156.12,30.76,84,85,19.55,light snow,0,0.44
163,Talcahuano,CL,2019-11-10 23:03:16,-36.72,-73.12,68.0,64,79,18.34,broken clouds,0,0
164,Cayenne,GF,2019-11-10 23:03:16,4.94,-52.33,82.4,78,80,4.7,broken clouds,0,0
165,Pacific Grove,US,2019-11-10 23:03:17,36.62,-121.92,78.01,72,1,5.82,clear sky,0,0
166,Bubaque,GW,2019-11-10 23:03:17,11.28,-15.83,83.43,71,20,11.36,few clouds,0,0
167,Marzuq,YE,2019-11-10 23:03:17,14.4,46.47,63.97,69,0,2.17,clear sky,0,0
168,Esperance,AU,2019-11-10 23:03:17,-33.86,121.89,55.4,71,75,10.29,broken clouds,0,0
169,Chkalovsk,RU,2019-11-10 23:03:18,56.76,43.24,41.0,93,90,13.42,overcast clouds,0,0
170,New Norfolk,AU,2019-11-10 23:03:18,-42.78,147.06,61.0,54,75,9.17,broken clouds,0,0
171,Castro,CL,2019-11-10 23:03:18,-42.48,-73.76,62.6,63,99,9.17,overcast clouds,0,0
172,Hat Yai,TH,2019-11-10 23:03:18,7.0,100.46,73.4,100,75,2.3,fog,0,0
173,Ilulissat,GL,2019-11-10 23:03:19,69.22,-51.1,41.0,30,100,14.99,overcast clouds,0,0
174,Bethel,US,2019-11-10 22:58:33,60.79,-161.76,41.0,93,1,9.17,clear sky,0,0
175,Hajipur,IN,2019-11-10 23:03:19,25.69,85.21,71.6,88,20,4.7,mist,0,0
176,Caraubas,BR,2019-11-10 23:01:35,-5.79,-37.56,86.0,62,98,16.11,overcast clouds,0,0
177,Nanortalik,GL,2019-11-10 23:03:19,60.14,-45.24,30.79,89,100,52.68,snow,0,2.69
178,Prince Rupert,CA,2019-11-10 23:03:20,54.32,-130.32,50.0,87,1,4.7,clear sky,0,0
179,Padang,ID,2019-11-10 23:03:20,-0.92,100.36,68.59,91,100,0.81,overcast clouds,0,0
180,Matagami,NG,2019-11-10 23:03:20,9.67,8.4,71.87,68,100,1.83,overcast clouds,0,0
181,Grand Gaube,MU,2019-11-10 23:03:20,-20.01,57.66,71.01,94,20,5.82,few clouds,0,0
182,Tazovskiy,RU,2019-11-10 23:03:20,67.47,78.7,-0.71,95,79,12.66,broken clouds,0,0
183,Olenino,RU,2019-11-10 23:03:21,56.21,33.48,47.79,91,100,9.28,overcast clouds,0,0
184,Changji,CN,2019-11-10 23:03:21,32.07,116.17,59.29,32,0,3.24,clear sky,0,0
185,Camacha,PT,2019-11-10 23:03:21,33.08,-16.33,66.2,63,40,11.41,scattered clouds,0,0
186,Maragogi,BR,2019-11-10 23:03:21,-9.01,-35.22,79.72,75,57,14.0,broken clouds,0,0
187,Aripuana,BR,2019-11-10 23:03:21,-9.17,-60.63,76.15,78,100,1.05,light rain,0.12,0
188,Bull Savanna,JM,2019-11-10 23:03:22,17.89,-77.59,71.92,93,26,0.43,light rain,1.25,0
189,Togur,RU,2019-11-10 23:03:22,58.36,82.83,1.54,87,45,4.47,scattered clouds,0,0
190,Mikhaylovka,RU,2019-11-10 23:03:22,52.96,103.29,11.97,75,100,5.01,overcast clouds,0,0
191,Kavaratti,IN,2019-11-10 23:03:22,10.57,72.64,80.85,73,69,6.58,broken clouds,0,0
192,Zhangye,CN,2019-11-10 23:03:23,38.94,100.46,31.12,29,40,1.81,scattered clouds,0,0
193,Sao Filipe,CV,2019-11-10 23:03:23,14.9,-24.5,74.62,81,82,17.65,broken clouds,0,0
194,Yuzhnyy,RU,2019-11-10 23:03:23,53.54,39.45,42.06,93,91,12.57,overcast clouds,0,0
195,Barentu,ER,2019-11-10 23:03:23,15.11,37.59,76.15,34,0,1.48,clear sky,0,0
